time_sec;F_signal;F_signal_DNA
8040;201.1548077;188.7185448
8100;200.8451555;189.5251932
8160;200.8343285;190.2016621
8220;200.9166137;189.9552508
8280;200.7022391;190.9083513
8340;201.1851233;191.0199337
8400;200.8711403;191.6847795
8460;199.905372;191.075725
8520;200.8516517;192.4216888
8580;200.5311726;191.6499099
8640;200.002815;191.917243
8700;200.6589311;191.7010519
8760;200.8148399;192.0497472
8820;200.6329463;192.8587203
8880;200.4423912;192.7773581
8940;200.3514444;193.4352298
9000;200.9231099;193.6979136
9060;201.3821746;193.300401
9120;200.7022391;193.6235253
9180;200.468376;194.0559075
9240;200.3146326;194.2256059
9300;200.111085;194.3929796
9360;200.0482884;194.5092114
9420;200.7801935;195.0299297
9480;200.9079521;194.6672866
9540;200.7173969;195.1438368
9600;200.8819673;195.3763003
9660;200.5918037;195.2833149
9720;200.1132504;195.2391469
9780;200.0374614;195.3507294
9840;199.7299747;195.8226303
9900;199.7408017;195.627361
9960;200.3860908;196.2922067
10020;200.0331306;196.022549
10080;199.9443492;195.7691637
10140;199.4744575;195.8505259
10200;199.9291914;195.7366188
10260;200.1478968;196.3177776
10320;199.8339138;196.4340094
10380;199.905372;196.7315627
10440;199.7083207;196.6339281
10500;200.0201382;196.1108851
10560;198.7685372;196.2340908
10620;199.4766229;196.1713256
10680;199.1236627;196.6943686
10740;199.5957199;196.0620678
10800;199.6238701;196.0806648
10860;198.8984612;196.2736096
10920;198.6039668;196.5874353
10980;199.0262197;196.0574185
11040;199.7949366;196.2340908
11100;198.6949136;196.4107631
11160;199.0673623;197.1337246
11220;199.5220963;196.3851921
11280;198.3008108;195.9853548
11340;199.4246533;196.5595397
11400;199.2622483;196.417737
11460;199.4398111;197.208113
11520;199.4073301;196.4572558
11580;198.8897996;196.0992619
11640;198.9959041;196.5572151
11700;199.3510297;197.0500378
11760;198.9266114;196.1597024
11820;198.7230638;195.6506073
11880;198.1817138;196.5176963
11940;199.1258281;196.4990992
12000;198.9915733;197.1430232
12060;198.827003;196.264311
12120;199.3488643;196.4409833
12180;199.7364709;196.7036671
12240;199.0132273;196.9012611
12300;198.9677539;196.659499
12360;199.1864593;197.3661882
12420;198.9287768;197.5358866
12480;198.8854688;196.7896786
12540;198.9157844;196.933806
12600;198.7490486;197.3266694
12660;199.3033909;196.9779741
12720;199.5415849;197.5172895
12780;199.3055563;197.6962864
12840;198.9980695;197.9938397
12900;199.1929555;197.9752426
12960;199.3878415;197.5196141
